window_size,price_volume,price_occurrences,occurrences_volume,occurrences_occurrences,price_price,volume_volume,price_volume_coeff,price_occurrences_coeff,occurrences_volume_coeff,occurrences_occurrences_coeff,price_price_coeff,volume_volume_coeff,null_hyp
14,0.23210186435058355,0.16758776265410227,0.5780506963379181,1.0,1.0,0.9999999999999999,0.0001060212168875556,0.00010196671546864393,0.005741864804320693,0.013230888368196038,2.7979712581633048e-5,0.007457359203052083,0.137
15,0.22974450091053045,0.16831957897805064,0.5819049070870407,1.0,1.0000000000000002,1.0,0.00012944866501615835,0.00012674857553558885,0.0068536564313669114,0.01574078222191346,3.602388866428364e-5,0.008812808033677145,0.142
17,0.22716564360268288,0.16841975099632853,0.5844926936404292,1.0,1.0,1.0000000000000002,0.00015708877555499053,0.00015633194437601625,0.008100693094806058,0.018603527282232562,4.631419517931933e-5,0.010325019687830757,0.151
19,0.22475342013121774,0.16818850354678103,0.5858223659803309,0.9999999999999999,1.0,1.0000000000000002,0.0001891375859573808,0.00019098462841422498,0.009477701287326086,0.021830699086926267,5.90658654498828e-5,0.011989649659608338,0.159
21,0.22289228469785835,0.16796425090060102,0.5861683993035769,1.0,1.0000000000000002,1.0000000000000002,0.00022599254113481288,0.00023117543010805393,0.010983582351379896,0.025435914482593584,7.447358796935951e-5,0.013803711111695934,0.167
24,0.22182263419702986,0.16780387608813327,0.585400148031974,1.0,1.0,0.9999999999999998,0.0002709895042833641,0.00028031810685220725,0.012683767509910486,0.029627703920922094,9.418903128249165e-5,0.015845023734184133,0.178
26,0.22183142214322438,0.16779861412207583,0.5840375195588017,1.0,0.9999999999999999,1.0,0.0003223405182405188,0.00033575225487860914,0.014513456593598768,0.03421912046238133,0.00011700173294189535,0.018046433209070005,0.186
29,0.22367104224945084,0.16815490401271949,0.5820804210562988,1.0000000000000002,1.0,1.0,0.0003856085088094023,0.0004018832506613245,0.01655697782670119,0.0394322535443284,0.00014485354905987064,0.020518450158443488,0.198
33,0.22828339655353488,0.16946790402183046,0.5800038715565518,1.0,0.9999999999999999,1.0000000000000002,0.0004689961916444897,0.0004852111969704527,0.018936892326455762,0.04550154915247693,0.00018016089446441514,0.023427689079385597,0.213
36,0.23427249954838836,0.1713901007128681,0.5782806439627524,0.9999999999999999,1.0000000000000002,1.0,0.0005701212383973361,0.0005831773668611882,0.02160655229437104,0.05224152368907344,0.00022162258600748897,0.026722543889536373,0.222
41,0.24228493260399872,0.17346257907570978,0.5773010438070045,1.0,0.9999999999999998,1.0,0.0007041603772041539,0.0007050837066917802,0.02484108299316726,0.06018079016074704,0.0002745439474415818,0.03076652740167501,0.236
45,0.25038079796734114,0.1745437143039995,0.5773361058889618,1.0,1.0000000000000002,1.0,0.0008672520188865748,0.0008438011171509997,0.028615941385296675,0.06917846180019556,0.0003378320618817562,0.03551303070128632,0.247
51,0.25920909562823,0.17317395112822107,0.5790724523041536,0.9999999999999998,1.0,1.0,0.00108041510928938,0.0010020884671654573,0.033368106296749106,0.07999848105312558,0.0004185672599067467,0.04150644800364759,0.265
56,0.2682890532902848,0.16975418579626136,0.5820184547719216,1.0,1.0,0.9999999999999999,0.0013444425457234815,0.0011725092582774127,0.0390864861565864,0.09256490677306092,0.0005154009436812232,0.04872292804637696,0.279
63,0.27918427828480014,0.16358846591109952,0.5867142862180554,1.0,0.9999999999999998,1.0000000000000002,0.0016973345452491724,0.0013572156474609843,0.04640437796930804,0.10793243584740861,0.000637735184541137,0.057957895323695025,0.299
70,0.29181977493561817,0.15566812427819232,0.5927416412882152,1.0,1.0000000000000002,0.9999999999999998,0.0021629776259764534,0.0015558040060736893,0.05561696151927401,0.12652015183024617,0.0007894973590788599,0.06958633062655346,0.316
