pic_name,bool_value,bool_gme,bool_gamestop,bool_investing,value_screenshot
t5rsym6627b61,False,False,False,True,103442.0
0g5dgwvsudb61,True,False,False,False,15162.0
ffj2b72vyaf61,True,True,False,False,397.0
p1s0rlkitnz51,False,False,False,True,1008.0
qt6iokxucc961,False,False,False,True,353.0
ED1D0s5,True,True,False,False,31201.0
qh5qx3qceqa61,False,False,False,True,5215.0
kZrl3TB,False,True,True,False,394.0
841dhgxmbwd61,False,True,True,False,286.0
hdvcffx6vxd61,False,True,False,True,3411.0
aibyyul01wy51,True,False,False,False,1545.0
s7820afa0kc61,True,False,False,False,19308.0
j37vptn6hwd61,True,True,False,False,70524.0
99ncgnr204f61,True,True,False,False,109.0
59cqytwqdte61,True,False,False,False,336.0
rl22jl0xjwe61,False,True,True,False,316.0
vdkhah8cyve61,False,True,False,False,130604.0
itwle96mzz961,False,False,False,True,4722.0
yi72imxkqwd61,False,True,True,False,956.0
vqggq6mhq2e61,False,False,True,False,460.0
dw2hucb334e61,False,True,True,False,256.0
vn0q181zggd61,False,True,False,True,1388.0
y7xwvz5dmr861,False,False,False,True,851.0
gg95laex33e61,False,True,True,False,294.0
q4ekknj3xue61,False,True,False,False,10000.0
27nelvp7imd61,False,True,False,False,2025.0
xfgex9bjg9x51,False,False,False,True,2351.0
3g74r1ltrse61,True,True,False,False,468020.0
2mkk9pyscxe61,False,False,True,False,1817.0
5bmudkepgg261,False,False,False,True,10892.0
fb1ex2dan0b61,True,False,False,False,381.0
voyz7pp7ere61,True,False,False,False,1826866.0
yNVNZUS,False,False,False,True,2548.0
clgbjmk8nbe61,False,True,False,False,1292.0
4ly1ytyhlbf61,True,True,False,False,1833.0
nhcu0xlkuvy51,False,False,False,True,7403.0
vew5ppua8mc61,False,True,True,False,33190.0
7unx8nuav2f61,False,True,False,True,12460.0
qge89gpof0f61,True,True,False,False,24448.0
ovo4kd9l2we61,True,False,False,False,2792.0
v4dizurry0d61,True,False,False,False,98561.0
x0k3gbsclhd61,True,False,False,False,2181.0
1avb6acbtr761,True,False,False,False,2950.0
paiz3prkzve61,True,True,True,False,7250.0
