occurrences,volume,close,tweets,date,hour
68,6707140.0,3.4638,298,2020-12-09,15
63,7787140.0,3.4144,263,2020-12-09,16
57,7010020.0,3.465,43,2020-12-10,9
48,4884752.0,3.467,41,2020-12-10,10
29,3673096.0,3.4275,48,2020-12-10,11
38,1595968.0,3.4747,80,2020-12-10,12
37,1868092.0,3.4863,124,2020-12-10,14
88,3899948.0,3.5575,156,2020-12-10,15
73,6080292.0,3.53,227,2020-12-10,16
17,5425748.0,3.4025,46,2020-12-11,9
38,4578608.0,3.37,32,2020-12-11,10
44,3940028.0,3.3425,34,2020-12-11,11
30,4562708.0,3.3093,47,2020-12-11,12
39,2366528.0,3.3485,83,2020-12-11,14
15,2745572.0,3.38,100,2020-12-11,15
32,5703784.0,3.3275,118,2020-12-11,16
50,6632512.0,3.175,71,2020-12-14,9
170,12727580.0,3.075,83,2020-12-14,10
85,4869180.0,3.1944,66,2020-12-14,11
65,2870472.0,3.185,80,2020-12-14,12
50,3219024.0,3.2506,119,2020-12-14,14
37,1984368.0,3.235,134,2020-12-14,15
35,5838860.0,3.18,338,2020-12-14,16
37,3765616.0,3.1727,70,2020-12-15,9
41,2907236.0,3.2375,212,2020-12-15,10
63,3095360.0,3.3174,600,2020-12-15,11
105,3724152.0,3.3527,247,2020-12-15,12
175,7640144.0,3.455,215,2020-12-15,14
76,4635860.0,3.4625,306,2020-12-15,15
67,5740744.0,3.4675,240,2020-12-15,16
46,4529028.0,3.51,32,2020-12-16,9
26,4394144.0,3.4575,52,2020-12-16,10
13,1284352.0,3.48,43,2020-12-16,11
19,2478428.0,3.52,58,2020-12-16,12
46,3719288.0,3.5375,119,2020-12-16,14
14,1222308.0,3.4938,128,2020-12-16,15
24,3679636.0,3.4625,176,2020-12-16,16
15,4710756.0,3.49,41,2020-12-17,9
28,3609692.0,3.5125,27,2020-12-17,10
62,5063540.0,3.61,42,2020-12-17,11
62,4061812.0,3.6345,73,2020-12-17,12
41,2312040.0,3.6375,96,2020-12-17,14
64,2535520.0,3.685,148,2020-12-17,15
93,9994680.0,3.7075,294,2020-12-17,16
155,13202560.0,3.8275,46,2020-12-18,9
134,9395576.0,3.98,54,2020-12-18,10
130,9510916.0,3.94,58,2020-12-18,11
61,4909228.0,3.98,107,2020-12-18,12
51,4378196.0,4.0171,122,2020-12-18,14
101,7197088.0,3.9475,207,2020-12-18,15
38,9708692.0,3.9075,183,2020-12-18,16
135,10750500.0,3.9739,45,2020-12-21,9
49,6475544.0,3.9295,59,2020-12-21,10
54,3861300.0,3.8625,116,2020-12-21,11
44,2574284.0,3.8588,132,2020-12-21,12
51,2364188.0,3.8538,166,2020-12-21,14
50,2707640.0,3.8438,302,2020-12-21,15
83,9038580.0,3.8801,193,2020-12-21,16
156,15317492.0,4.3881,54,2020-12-22,9
800,32016136.0,4.7825,72,2020-12-22,10
238,14211140.0,4.765,91,2020-12-22,11
162,9801700.0,4.84,122,2020-12-22,12
280,12542968.0,4.87,173,2020-12-22,14
432,18389288.0,4.8725,281,2020-12-22,15
243,16007280.0,4.8575,511,2020-12-22,16
271,17125184.0,5.2375,69,2020-12-23,9
682,30979672.0,5.1776,52,2020-12-23,10
320,14282824.0,5.413,90,2020-12-23,11
286,16826196.0,5.405,122,2020-12-23,12
203,5982992.0,5.4225,206,2020-12-23,14
199,7319368.0,5.2625,270,2020-12-23,15
146,8019272.0,5.145,461,2020-12-23,16
163,7601824.0,5.2813,73,2020-12-24,9
119,5392176.0,5.1694,61,2020-12-24,10
97,4800196.0,5.15,45,2020-12-24,11
120,6441032.0,5.05,82,2020-12-24,12
54,251652.0,5.0375,131,2020-12-24,14
171,10067692.0,5.4215,296,2020-12-28,9
178,10542416.0,5.25,273,2020-12-28,10
101,2984912.0,5.28,313,2020-12-28,11
79,2235216.0,5.215,323,2020-12-28,12
106,2391244.0,5.1092,345,2020-12-28,14
90,1909732.0,5.1598,386,2020-12-28,15
97,4622508.0,5.245,373,2020-12-28,16
119,5771980.0,4.9508,143,2020-12-29,9
350,11056752.0,4.7925,166,2020-12-29,10
159,3507656.0,4.9225,170,2020-12-29,11
83,3656348.0,4.84,190,2020-12-29,12
80,2388964.0,4.9463,175,2020-12-29,14
99,4925060.0,4.9175,218,2020-12-29,15
82,4769860.0,4.8425,277,2020-12-29,16
106,3238984.0,4.9575,44,2020-12-30,9
108,3768712.0,4.8663,33,2020-12-30,10
89,3156916.0,4.815,37,2020-12-30,11
97,3015844.0,4.755,70,2020-12-30,12
123,1908228.0,4.8172,55,2020-12-30,14
109,2375604.0,4.7538,83,2020-12-30,15
115,5537460.0,4.815,98,2020-12-30,16
89,4001756.0,4.865,62,2020-12-31,9
101,2821552.0,4.7625,31,2020-12-31,10
98,3684128.0,4.8425,42,2020-12-31,11
129,3070224.0,4.93,50,2020-12-31,12
73,1490936.0,4.865,48,2020-12-31,14
83,3187924.0,4.7475,73,2020-12-31,15
94,4329072.0,4.7025,96,2020-12-31,16
125,6711724.0,4.3563,38,2021-01-04,9
220,10701812.0,4.38,33,2021-01-04,10
97,6259124.0,4.3963,29,2021-01-04,11
68,3194500.0,4.4175,50,2021-01-04,12
57,2429124.0,4.3928,59,2021-01-04,14
67,3158532.0,4.3513,85,2021-01-04,15
86,6635164.0,4.31,114,2021-01-04,16
79,4014032.0,4.425,49,2021-01-05,9
75,3280168.0,4.3875,35,2021-01-05,10
49,1761408.0,4.3888,41,2021-01-05,11
57,1407184.0,4.41,46,2021-01-05,12
60,2663352.0,4.3724,63,2021-01-05,14
64,2031408.0,4.3168,109,2021-01-05,15
72,4079092.0,4.34,128,2021-01-05,16
38,2650580.0,4.4013,38,2021-01-06,9
116,4619116.0,4.6,37,2021-01-06,10
95,3584480.0,4.67,32,2021-01-06,11
85,2511176.0,4.6961,40,2021-01-06,12
42,1612060.0,4.7038,42,2021-01-06,14
56,4545520.0,4.5575,77,2021-01-06,15
39,3762052.0,4.5975,98,2021-01-06,16
75,3971876.0,4.85,28,2021-01-07,9
64,3817396.0,4.7125,29,2021-01-07,10
65,2948752.0,4.64,63,2021-01-07,11
40,2249048.0,4.6438,53,2021-01-07,12
38,1452640.0,4.5975,79,2021-01-07,14
62,3576560.0,4.5688,102,2021-01-07,15
54,5861832.0,4.53,124,2021-01-07,16
92,4213400.0,4.3988,64,2021-01-08,9
119,6389340.0,4.3925,57,2021-01-08,10
65,2118796.0,4.3875,66,2021-01-08,11
84,3211076.0,4.4688,106,2021-01-08,12
33,2618460.0,4.4,105,2021-01-08,14
36,1743772.0,4.47,133,2021-01-08,15
48,4316576.0,4.4225,151,2021-01-08,16
228,18395832.0,5.125,34,2021-01-11,9
151,9895660.0,4.83,35,2021-01-11,10
114,5829736.0,4.8412,43,2021-01-11,11
112,5168596.0,4.9013,121,2021-01-11,12
125,5955076.0,5.0925,277,2021-01-11,14
122,5021160.0,4.9606,242,2021-01-11,15
76,4508836.0,4.9825,211,2021-01-11,16
87,6453192.0,4.9025,40,2021-01-12,9
60,5950108.0,5.0488,42,2021-01-12,10
54,3336024.0,5.01,54,2021-01-12,11
39,2715208.0,5.0318,65,2021-01-12,12
45,2657652.0,4.9662,74,2021-01-12,14
37,2240000.0,4.9482,136,2021-01-12,15
62,4387016.0,4.985,161,2021-01-12,16
447,19284552.0,5.7275,35,2021-01-13,9
1691,99680212.0,7.1615,52,2021-01-13,10
2141,187529612.0,7.9375,66,2021-01-13,11
1165,119091184.0,8.5775,91,2021-01-13,12
770,64423076.0,8.38,106,2021-01-13,14
608,42616248.0,8.2563,201,2021-01-13,15
743,40439080.0,7.86,776,2021-01-13,16
1108,62562720.0,8.785,97,2021-01-14,9
815,48057904.0,8.8059,122,2021-01-14,10
746,39318080.0,9.22,165,2021-01-14,11
1478,92807992.0,9.5,249,2021-01-14,12
1023,46346944.0,9.7275,431,2021-01-14,14
801,28151432.0,9.8188,634,2021-01-14,15
926,40697420.0,9.9796,420,2021-01-14,16
1412,35940748.0,9.3487,66,2021-01-15,9
1433,38876256.0,9.155,83,2021-01-15,10
865,23297144.0,8.5525,135,2021-01-15,11
923,21483088.0,8.9539,182,2021-01-15,12
